"espece_id","engine_marker","code_param","section","parametre","valeur_engine","statut_audit_bce4x","phase","doctrine","directive","activation_status","v30_locked","generated_at_utc"
"DINDON_SAUVAGE","ENGINE_ESPECE_DINDON_SAUVAGE_Ω","A01","scientifique","comportements_saisonniers","Codé via dimensions_scientifiques + scoring saisonnier (cf. compute scoring nutrition / hyperphagie / ravages)","ACCEPTÉ","PHASE_XII_ESPECES_Ω","BCE-4X_ULTIME_ABSOLU","EXTRACTION_COMPLÈTE_ENGINES_ESPECES_Ω_V2","EN_ATTENTE_VALIDATION_COMMANDANT","TRUE","2026-04-29T03:20:22+00:00"
"DINDON_SAUVAGE","ENGINE_ESPECE_DINDON_SAUVAGE_Ω","A02","scientifique","corridors_deplacement","corridors_deplacement explicite — couches CORRIDORS_DINDON","ACCEPTÉ","PHASE_XII_ESPECES_Ω","BCE-4X_ULTIME_ABSOLU","EXTRACTION_COMPLÈTE_ENGINES_ESPECES_Ω_V2","EN_ATTENTE_VALIDATION_COMMANDANT","TRUE","2026-04-29T03:20:22+00:00"
"DINDON_SAUVAGE","ENGINE_ESPECE_DINDON_SAUVAGE_Ω","A03","scientifique","habitat_zones_ecologiques","habitat + zones critiques — couches HABITAT_NIDIFICATION_DINDON, ZONES_RISQUE_FRAGMENTATION_DINDON","ACCEPTÉ","PHASE_XII_ESPECES_Ω","BCE-4X_ULTIME_ABSOLU","EXTRACTION_COMPLÈTE_ENGINES_ESPECES_Ω_V2","EN_ATTENTE_VALIDATION_COMMANDANT","TRUE","2026-04-29T03:20:22+00:00"
"DINDON_SAUVAGE","ENGINE_ESPECE_DINDON_SAUVAGE_Ω","A04","scientifique","nutrition_avancee","nutrition_avancee codée (mast/forage/sous-bois/agri) selon profil","ACCEPTÉ","PHASE_XII_ESPECES_Ω","BCE-4X_ULTIME_ABSOLU","EXTRACTION_COMPLÈTE_ENGINES_ESPECES_Ω_V2","EN_ATTENTE_VALIDATION_COMMANDANT","TRUE","2026-04-29T03:20:22+00:00"
"DINDON_SAUVAGE","ENGINE_ESPECE_DINDON_SAUVAGE_Ω","A05","scientifique","pression_humaine","compute_score_pression_humaine (routes, urb., agri.) — pondération Montgomery 2019","ACCEPTÉ","PHASE_XII_ESPECES_Ω","BCE-4X_ULTIME_ABSOLU","EXTRACTION_COMPLÈTE_ENGINES_ESPECES_Ω_V2","EN_ATTENTE_VALIDATION_COMMANDANT","TRUE","2026-04-29T03:20:22+00:00"
"DINDON_SAUVAGE","ENGINE_ESPECE_DINDON_SAUVAGE_Ω","A06","scientifique","maladies_parasites","oui — lpdv_risk_threshold","ACCEPTÉ","PHASE_XII_ESPECES_Ω","BCE-4X_ULTIME_ABSOLU","EXTRACTION_COMPLÈTE_ENGINES_ESPECES_Ω_V2","EN_ATTENTE_VALIDATION_COMMANDANT","TRUE","2026-04-29T03:20:22+00:00"
"DINDON_SAUVAGE","ENGINE_ESPECE_DINDON_SAUVAGE_Ω","A07","scientifique","thermoregulation","non applicable (DINDON)","NON_APPLICABLE","PHASE_XII_ESPECES_Ω","BCE-4X_ULTIME_ABSOLU","EXTRACTION_COMPLÈTE_ENGINES_ESPECES_Ω_V2","EN_ATTENTE_VALIDATION_COMMANDANT","TRUE","2026-04-29T03:20:22+00:00"
"DINDON_SAUVAGE","ENGINE_ESPECE_DINDON_SAUVAGE_Ω","A08","scientifique","tolerance_neige","oui — seuil 25.0 cm","ACCEPTÉ","PHASE_XII_ESPECES_Ω","BCE-4X_ULTIME_ABSOLU","EXTRACTION_COMPLÈTE_ENGINES_ESPECES_Ω_V2","EN_ATTENTE_VALIDATION_COMMANDANT","TRUE","2026-04-29T03:20:22+00:00"
"DINDON_SAUVAGE","ENGINE_ESPECE_DINDON_SAUVAGE_Ω","A09","scientifique","sites_critiques","ZONES_CRITIQUES / RAVAGES / NIDIFICATION / DENNING selon espèce","ACCEPTÉ","PHASE_XII_ESPECES_Ω","BCE-4X_ULTIME_ABSOLU","EXTRACTION_COMPLÈTE_ENGINES_ESPECES_Ω_V2","EN_ATTENTE_VALIDATION_COMMANDANT","TRUE","2026-04-29T03:20:22+00:00"
"DINDON_SAUVAGE","ENGINE_ESPECE_DINDON_SAUVAGE_Ω","A10","scientifique","interactions_inter_especes","interactions inter-espèces documentées (corridors partagés, pressions cumulées)","ACCEPTÉ","PHASE_XII_ESPECES_Ω","BCE-4X_ULTIME_ABSOLU","EXTRACTION_COMPLÈTE_ENGINES_ESPECES_Ω_V2","EN_ATTENTE_VALIDATION_COMMANDANT","TRUE","2026-04-29T03:20:22+00:00"
